"","original_cluster","new_cluster"
"1",1,"Microglia"
"2",2,"Microglia"
"3",3,"unknown"
"4",4,"Microglia"
"5",5,"Microglia"
"6",6,"Boder−associated Macrophages"
"7",7,"activated_Microglia"
"8",8,"MoMac"
"9",9,"CD206+_Microglia"
"10",10,"MoMac"
"11",11,"CD206+_Microglia"
"12",12,"activated_Microglia"
"13",13,"Tcells"
"14",14,"Boder−associated Macrophages"
"15",15,"unknown"
"16",16,"Tcells"
"17",17,"moDC/cDC1"
"18",18,"Tcells"
"19",19,"CD25.hi_CD4_Tcells"
"20",20,"Neutrophils"
"21",21,"moDC/cDC1"
"22",22,"MoMac"
